City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1314,Quthing,LS,-30.4,27.7003,59.14,92,100,4.34,light rain
1315,Araxa,BR,-19.5933,-46.9406,80.33,51,52,2.35,broken clouds
1316,Banatski Karlovac,RS,45.0472,21.0161,38.95,89,100,10.94,overcast clouds
1317,Vathi,GR,38.4,23.6,57.29,88,40,4.61,scattered clouds
1318,Torata,PE,-17.0769,-70.8433,70.63,34,60,12.57,broken clouds
1319,Uruzgan,AF,32.8333,66.0,41.13,69,4,1.95,clear sky
1320,Shorapani,GE,42.0898,43.0866,49.59,46,31,6.49,scattered clouds
1321,Paracatu,BR,-17.2222,-46.8747,77.7,72,97,4.92,overcast clouds
1322,Tyup,KG,42.7276,78.3648,27.59,79,76,3.98,broken clouds
1323,Cocobeach,GA,1.0002,9.5823,76.93,83,100,7.96,overcast clouds
1324,Portoferraio,IT,42.8115,10.3146,60.96,67,100,11.7,overcast clouds
1325,Hyeres,FR,43.1167,6.1167,55.42,69,0,19.57,clear sky
1326,Lobez,PL,53.6392,15.6213,34.32,96,100,6.98,overcast clouds
1327,Atasu,KZ,48.6814,71.6433,21.4,78,100,8.43,overcast clouds
1328,Omis,HR,43.4447,16.6886,46.33,63,100,5.57,overcast clouds
1329,Akhtubinsk,RU,48.2795,46.1722,45.05,86,100,13.67,overcast clouds
1330,Dubovyy Umet,RU,52.9763,50.2857,33.69,98,100,8.79,snow
1331,San Felix,UY,-32.3333,-58.1333,82.11,25,99,12.35,overcast clouds
1332,Casma,CL,-41.0082,-73.1244,72.68,23,0,9.71,clear sky
1333,Werda,BW,-25.2667,23.2833,68.65,74,100,4.94,overcast clouds
1334,Awjilah,LY,29.1081,21.2869,56.88,37,0,13.47,clear sky
1335,Chute-Aux-Outardes,CA,49.1168,-68.399,19.71,69,41,10.56,scattered clouds
1336,Tres Arroyos,AR,-38.3739,-60.2798,58.1,55,100,5.64,overcast clouds
1337,Pitsunda,GE,43.1592,40.3378,48.38,57,99,10.04,overcast clouds
1338,Kollam,IN,8.8833,76.6,78.67,87,88,3.65,overcast clouds
1339,Zermatt,CH,46.0213,7.7491,29.34,99,96,6.58,light snow
1340,Placido De Castro,BR,-10.3353,-67.1856,96.31,40,33,2.84,scattered clouds
1341,Rehoboth,NA,-23.3167,17.0833,63.23,24,0,8.05,clear sky
1342,Manakara,MG,-22.1333,48.0167,75.78,90,4,9.15,clear sky
1343,Staraya Kulatka,RU,52.7167,47.6167,32.76,92,100,6.26,overcast clouds
1344,Maxixe,MZ,-23.8597,35.3472,80.42,89,40,16.11,scattered clouds
1345,Segezha,RU,63.7415,34.3222,8.02,82,10,10.74,clear sky
1346,Agirish,RU,61.9247,63.0231,0.99,95,100,12.71,snow
1347,Nioki,CD,-2.7167,17.6833,73.67,93,100,1.07,overcast clouds
1348,Opoczno,PL,51.3757,20.2783,33.96,58,94,4.9,overcast clouds
1349,Palasa,IN,18.7667,84.4167,68.5,96,100,7.29,moderate rain
1350,Kuryk,KZ,43.2,51.65,45.64,59,3,17.83,clear sky
1351,Tucuman,AR,-26.8241,-65.2226,71.6,73,90,6.91,overcast clouds
1352,Uglich,RU,57.5275,38.3317,13.15,98,91,3.6,overcast clouds
