City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,Zlobin,45.2924,14.6541,46.38,84,40,9.22,HR,2021-12-02 04:01:27
278,Lagoa,39.05,-27.9833,62.94,82,0,7.94,PT,2021-12-02 04:01:28
279,Bystrice Pod Hostynem,49.3992,17.674,45.55,85,100,10.13,CZ,2021-12-02 04:01:28
280,Qaqortoq,60.7167,-46.0333,31.69,98,100,14.25,GL,2021-12-02 04:02:28
281,Rock Sound,24.9,-76.2,78.42,63,4,11.16,BS,2021-12-02 04:02:29
282,Pizarro,4.9533,-77.366,75.92,92,96,3.4,CO,2021-12-02 04:02:29
283,Darayya,33.459,36.2374,50.34,63,47,10.4,SY,2021-12-02 04:02:29
284,Torbay,47.6666,-52.7314,37.76,90,80,1.01,CA,2021-12-02 04:00:27
285,Algiers,36.7525,3.042,55.22,62,40,10.36,DZ,2021-12-02 04:02:30
286,Andenes,69.3143,16.1194,33.78,55,100,26.46,NO,2021-12-02 04:01:36
287,Hosakote,14.2769,77.1699,73.36,74,5,6.6,IN,2021-12-02 04:02:30
288,Makokou,0.5738,12.8642,69.51,97,93,2.42,GA,2021-12-02 04:02:30
289,Calabozo,8.9242,-67.4293,75.63,86,100,4.09,VE,2021-12-02 04:02:31
290,Fethiye,36.6217,29.1164,42.67,45,0,4.85,TR,2021-12-02 04:02:31
291,Sungurlu,40.1675,34.3739,33.21,74,5,3.98,TR,2021-12-02 04:02:31
292,Tevriz,57.509,72.4042,31.05,75,100,10.92,RU,2021-12-02 04:02:32
293,Riyadh,24.6877,46.7219,59.05,36,0,4.61,SA,2021-12-02 03:59:06
294,Tucurui,-3.7661,-49.6725,77.68,74,92,2.06,BR,2021-12-02 04:02:32
295,Matagami,49.7502,-77.6328,17.71,86,90,17.27,CA,2021-12-02 04:02:32
296,Adrar,20.5022,-10.0711,67.17,14,100,10.04,MR,2021-12-02 04:02:32
297,Olinda,-8.0089,-34.8553,79.95,77,86,11.74,BR,2021-12-02 04:02:33
298,Lehigh Acres,26.6254,-81.6248,67.95,86,76,3.67,US,2021-12-02 04:00:07
