City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
730,Dekar,BW,68.74,moderate rain,-21.5333,21.9333,
731,Oros,BR,94.98,scattered clouds,-6.2444,-38.9136,Pousada Orós
734,Tamarindo,CU,80.98,clear sky,22.1175,-78.9087,
736,Porto Novo,BJ,85.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
738,Edd,ER,83.39,clear sky,13.9297,41.6925,
740,Puerto El Triunfo,SV,90.18,clear sky,13.2833,-88.55,Hotel Jardin
741,Chirongui,YT,80.53,scattered clouds,-12.9319,45.1483,La Villa Mahatsara
743,Machico,PT,66.7,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
748,Bangui,CF,80.35,overcast clouds,4.3612,18.555,SAM HOTEL
751,Porto Belo,BR,79.16,broken clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
752,Isla Mujeres,MX,82.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
753,Formosa Do Rio Preto,BR,72.32,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
755,Thinadhoo,MV,82.18,overcast clouds,0.5333,72.9333,
758,Sami,GM,88.45,overcast clouds,13.5833,-15.2,
760,Dakar,SN,79.68,dust,14.6937,-17.4441,Redface Studios Meublés
764,Samana,DO,84.42,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
769,Bundibugyo,UG,69.58,overcast clouds,0.7414,30.0417,R.A. Kaliisa Accomodations
770,Mahanje,TZ,69.22,clear sky,-9.9333,35.3333,
772,Black River,JM,85.98,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
775,Macapa,BR,84.18,light rain,0.0389,-51.0664,Atalanta Hotel
778,Contamana,PE,90.57,light rain,-7.3333,-75.0167,Shiringal Touristic Park
780,San Carlos Del Zulia,VE,88.99,broken clouds,9.0,-71.9135,Hotel El Manantial
781,Talcahuano,CL,73.08,clear sky,-36.7167,-73.1167,departamento comodo
782,Kerouane,GN,81.05,broken clouds,9.2667,-9.0167,
783,Kadiri,IN,73.11,overcast clouds,14.1167,78.1667,Railway Guest House
784,Funtua,NG,73.02,overcast clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
785,Ippy,CF,80.56,broken clouds,6.2679,21.2247,
786,Tres Passos,BR,93.29,scattered clouds,-27.4556,-53.9319,Hotel Imperial
787,Tocopilla,CL,71.91,few clouds,-22.092,-70.1979,Hotel Galvarino
789,Rock Sound,BS,77.94,overcast clouds,24.9,-76.2,Rock Sound Club
790,Axim,GH,80.47,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
791,Salinopolis,BR,83.35,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
793,Cartagena,CO,87.42,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
794,Sucre,BO,68.32,overcast clouds,-19.0333,-65.2627,Hotel Premier
796,Boqueirao,BR,87.35,broken clouds,-7.5,-36.1333,Hotel Chique Chique
798,Blacksburg,US,65.55,overcast clouds,37.2296,-80.4139,Hilton Garden Inn Blacksburg University
799,Qena,EG,66.31,overcast clouds,26.1615,32.7183,"Grand hotel ""Quena"""
802,Calbuco,CL,65.41,clear sky,-41.768,-73.1273,Hotel Colonial
806,Diffa,NE,78.91,few clouds,13.3154,12.6113,ProDAF/Diffa
807,Chicama,PE,66.74,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
810,Gopalpur,IN,68.72,heavy intensity rain,19.2667,84.9167,Gopalpur Palm Resort
814,Bara,NG,81.1,broken clouds,10.3744,10.7288,
815,Jeronimo Monteiro,BR,75.0,broken clouds,-20.7894,-41.395,Pousada Capuchos
820,Uige,AO,68.38,light rain,-7.6087,15.0613,Hotel Catraio
825,Mpulungu,ZM,78.24,overcast clouds,-8.7623,31.1141,Chela moche guest house
827,Puerto Madryn,AR,79.65,clear sky,-42.7692,-65.0385,Hotel Tolosa
828,Filingue,NE,82.62,clear sky,14.3521,3.3168,
829,Sao Lourenco Da Serra,BR,77.72,broken clouds,-23.8525,-46.9425,Kohlerland
831,San Miguel,SV,93.92,broken clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
832,Luziania,BR,80.29,broken clouds,-16.2525,-47.9503,HOTEL SARON
833,Robertsport,LR,82.53,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
835,Sao Jose Da Coroa Grande,BR,81.23,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
836,Alenquer,BR,80.94,broken clouds,-1.9417,-54.7383,Josilene Castro
839,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
842,Matara,LK,76.86,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
845,Tartagal,AR,70.34,overcast clouds,-22.5164,-63.8013,Almuñecar Hotel
846,Uberlandia,BR,83.41,broken clouds,-18.9186,-48.2772,Hotel Apollo
854,Obo,CF,77.43,overcast clouds,5.3998,26.4869,
859,Vieques,PR,87.67,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
861,Mar De Espanha,BR,74.64,broken clouds,-21.8672,-43.0097,Pousada Ayuruoca
863,Luba,GQ,81.19,light rain,3.4568,8.5547,
864,Baracoa,CU,79.63,broken clouds,20.3467,-74.4958,Hostal Rio Miel
867,Guanica,PR,87.98,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
868,Malpe,IN,79.9,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
869,Itaqui,BR,94.44,few clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
875,Jega,NG,79.97,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
879,Soavinandriana,MG,65.79,scattered clouds,-19.1667,46.7333,
882,Mazagao,BR,84.25,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
885,Iberia,US,79.97,clear sky,29.9502,-91.7507,back to back rv park
886,Camocim,BR,85.69,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
888,Novo Oriente,BR,83.93,overcast clouds,-5.5344,-40.7742,Golden Palace Hotel
891,Bahraich,IN,66.69,clear sky,27.5833,81.6,Narain Guest House
892,Podor,MR,94.95,clear sky,16.6527,-14.9587,Auberge Du Tékrour
